filename,split
00000.ppm,val
00001.ppm,train
00002.ppm,train
00003.ppm,val
00004.ppm,train
00005.ppm,train
00006.ppm,test
00007.ppm,val
00008.ppm,train
00009.ppm,train
00010.ppm,train
00011.ppm,val
00012.ppm,train
00013.ppm,train
00014.ppm,train
00015.ppm,train
00016.ppm,train
00017.ppm,train
00018.ppm,train
00019.ppm,val
00020.ppm,train
00021.ppm,val
00022.ppm,train
00023.ppm,train
00024.ppm,train
00025.ppm,test
00026.ppm,train
00027.ppm,test
00028.ppm,train
00029.ppm,train
00030.ppm,test
00031.ppm,train
00032.ppm,test
00033.ppm,train
00034.ppm,train
00035.ppm,train
00036.ppm,train
00037.ppm,train
00038.ppm,train
00039.ppm,train
00040.ppm,train
00041.ppm,train
00042.ppm,train
00043.ppm,train
00044.ppm,test
00045.ppm,train
00046.ppm,test
00047.ppm,train
00048.ppm,val
00049.ppm,train
00050.ppm,train
00051.ppm,train
00052.ppm,train
00053.ppm,train
00054.ppm,train
00055.ppm,train
00056.ppm,train
00057.ppm,val
00058.ppm,train
00059.ppm,val
00060.ppm,val
00061.ppm,train
00062.ppm,train
00063.ppm,train
00064.ppm,train
00065.ppm,val
00066.ppm,train
00067.ppm,val
00068.ppm,train
00069.ppm,val
00070.ppm,val
00071.ppm,test
00072.ppm,val
00073.ppm,val
00074.ppm,train
00075.ppm,train
00076.ppm,train
00077.ppm,train
00078.ppm,train
00079.ppm,train
00080.ppm,test
00081.ppm,test
00082.ppm,train
00083.ppm,train
00084.ppm,train
00085.ppm,train
00086.ppm,train
00087.ppm,val
00088.ppm,train
00089.ppm,test
00090.ppm,train
00091.ppm,train
00092.ppm,train
00093.ppm,val
00094.ppm,test
00095.ppm,test
00096.ppm,val
00097.ppm,train
00098.ppm,train
00099.ppm,test
00100.ppm,train
00101.ppm,train
00102.ppm,train
00103.ppm,test
00104.ppm,test
00105.ppm,train
00106.ppm,train
00107.ppm,train
00109.ppm,val
00110.ppm,train
00111.ppm,train
00112.ppm,train
00113.ppm,val
00114.ppm,train
00115.ppm,test
00116.ppm,train
00117.ppm,train
00118.ppm,val
00119.ppm,train
00120.ppm,train
00121.ppm,train
00122.ppm,train
00123.ppm,train
00124.ppm,val
00125.ppm,train
00126.ppm,train
00127.ppm,train
00128.ppm,test
00129.ppm,val
00130.ppm,train
00131.ppm,train
00132.ppm,val
00133.ppm,train
00134.ppm,train
00135.ppm,train
00136.ppm,val
00137.ppm,train
00138.ppm,train
00140.ppm,train
00141.ppm,train
00142.ppm,train
00143.ppm,val
00144.ppm,test
00146.ppm,train
00147.ppm,train
00148.ppm,train
00149.ppm,val
00150.ppm,train
00151.ppm,train
00152.ppm,train
00153.ppm,train
00154.ppm,train
00155.ppm,train
00156.ppm,train
00157.ppm,train
00158.ppm,train
00159.ppm,val
00160.ppm,train
00161.ppm,train
00162.ppm,test
00163.ppm,train
00164.ppm,val
00165.ppm,train
00166.ppm,test
00167.ppm,train
00168.ppm,val
00169.ppm,test
00170.ppm,val
00171.ppm,train
00172.ppm,val
00173.ppm,train
00174.ppm,train
00175.ppm,train
00176.ppm,train
00177.ppm,train
00178.ppm,val
00179.ppm,train
00180.ppm,train
00181.ppm,train
00182.ppm,train
00183.ppm,train
00184.ppm,train
00185.ppm,val
00186.ppm,train
00187.ppm,train
00188.ppm,train
00189.ppm,train
00190.ppm,train
00191.ppm,train
00192.ppm,train
00193.ppm,train
00194.ppm,train
00195.ppm,train
00196.ppm,train
00197.ppm,val
00198.ppm,train
00199.ppm,test
00200.ppm,train
00201.ppm,train
00202.ppm,train
00203.ppm,train
00204.ppm,train
00205.ppm,train
00206.ppm,test
00207.ppm,train
00208.ppm,val
00209.ppm,train
00210.ppm,train
00211.ppm,train
00212.ppm,train
00214.ppm,train
00215.ppm,train
00216.ppm,train
00217.ppm,train
00218.ppm,val
00219.ppm,train
00220.ppm,val
00221.ppm,val
00222.ppm,train
00223.ppm,val
00224.ppm,test
00225.ppm,train
00226.ppm,train
00227.ppm,test
00228.ppm,val
00229.ppm,test
00230.ppm,train
00231.ppm,train
00232.ppm,test
00233.ppm,train
00234.ppm,val
00236.ppm,train
00237.ppm,train
00238.ppm,test
00239.ppm,val
00240.ppm,val
00241.ppm,train
00242.ppm,train
00243.ppm,test
00244.ppm,train
00245.ppm,train
00246.ppm,train
00247.ppm,train
00248.ppm,val
00249.ppm,train
00250.ppm,val
00251.ppm,val
00252.ppm,train
00253.ppm,val
00254.ppm,train
00255.ppm,test
00256.ppm,train
00257.ppm,val
00258.ppm,val
00259.ppm,train
00260.ppm,train
00261.ppm,train
00262.ppm,val
00263.ppm,train
00264.ppm,train
00265.ppm,train
00266.ppm,train
00267.ppm,train
00268.ppm,train
00269.ppm,train
00270.ppm,train
00271.ppm,train
00272.ppm,train
00273.ppm,train
00274.ppm,val
00275.ppm,test
00276.ppm,val
00277.ppm,train
00278.ppm,val
00279.ppm,val
00280.ppm,train
00281.ppm,val
00282.ppm,train
00283.ppm,train
00284.ppm,train
00285.ppm,train
00286.ppm,test
00287.ppm,train
00288.ppm,train
00289.ppm,test
00290.ppm,val
00291.ppm,train
00292.ppm,train
00293.ppm,train
00294.ppm,train
00295.ppm,train
00296.ppm,train
00297.ppm,train
00298.ppm,train
00299.ppm,train
00300.ppm,train
00301.ppm,test
00302.ppm,train
00303.ppm,train
00304.ppm,train
00305.ppm,test
00306.ppm,train
00307.ppm,train
00309.ppm,train
00310.ppm,train
00311.ppm,val
00312.ppm,train
00313.ppm,train
00314.ppm,train
00315.ppm,train
00316.ppm,train
00317.ppm,train
00318.ppm,train
00319.ppm,train
00320.ppm,val
00322.ppm,train
00323.ppm,train
00330.ppm,train
00333.ppm,train
00334.ppm,val
00337.ppm,train
00338.ppm,train
00339.ppm,val
00340.ppm,val
00341.ppm,train
00343.ppm,train
00344.ppm,train
00346.ppm,train
00347.ppm,train
00348.ppm,train
00349.ppm,train
00350.ppm,val
00351.ppm,val
00352.ppm,train
00353.ppm,train
00355.ppm,train
00356.ppm,train
00357.ppm,train
00358.ppm,val
00359.ppm,train
00360.ppm,train
00362.ppm,train
00363.ppm,train
00366.ppm,train
00367.ppm,test
00368.ppm,train
00369.ppm,val
00370.ppm,train
00371.ppm,test
00372.ppm,train
00373.ppm,train
00374.ppm,train
00375.ppm,test
00376.ppm,train
00377.ppm,train
00378.ppm,train
00379.ppm,train
00380.ppm,train
00382.ppm,train
00383.ppm,train
00384.ppm,train
00385.ppm,train
00386.ppm,val
00387.ppm,test
00388.ppm,train
00390.ppm,train
00391.ppm,train
00392.ppm,test
00393.ppm,train
00395.ppm,train
00396.ppm,test
00397.ppm,val
00398.ppm,train
00400.ppm,test
00401.ppm,train
00402.ppm,train
00403.ppm,train
00404.ppm,train
00405.ppm,train
00406.ppm,test
00408.ppm,train
00410.ppm,train
00411.ppm,val
00412.ppm,train
00413.ppm,train
00414.ppm,train
00415.ppm,train
00416.ppm,test
00417.ppm,val
00418.ppm,test
00419.ppm,val
00420.ppm,train
00421.ppm,train
00422.ppm,train
00423.ppm,val
00425.ppm,train
00426.ppm,train
00427.ppm,train
00428.ppm,train
00430.ppm,train
00431.ppm,train
00432.ppm,train
00433.ppm,train
00434.ppm,train
00435.ppm,train
00436.ppm,val
00438.ppm,train
00439.ppm,train
00440.ppm,val
00441.ppm,train
00443.ppm,val
00444.ppm,train
00445.ppm,train
00446.ppm,train
00447.ppm,train
00448.ppm,train
00449.ppm,val
00450.ppm,train
00451.ppm,train
00452.ppm,train
00453.ppm,train
00455.ppm,train
00456.ppm,train
00457.ppm,train
00458.ppm,train
00459.ppm,train
00460.ppm,train
00461.ppm,train
00463.ppm,train
00465.ppm,test
00466.ppm,train
00467.ppm,train
00468.ppm,test
00470.ppm,val
00471.ppm,train
00472.ppm,train
00473.ppm,train
00474.ppm,train
00475.ppm,val
00476.ppm,train
00477.ppm,train
00478.ppm,val
00479.ppm,train
00480.ppm,train
00481.ppm,train
00482.ppm,val
00483.ppm,train
00484.ppm,train
00485.ppm,val
00486.ppm,train
00487.ppm,train
00488.ppm,train
00490.ppm,train
00491.ppm,train
00492.ppm,train
00493.ppm,train
00494.ppm,train
00496.ppm,train
00497.ppm,train
00498.ppm,test
00499.ppm,train
00500.ppm,train
00501.ppm,val
00502.ppm,train
00503.ppm,test
00504.ppm,train
00505.ppm,train
00507.ppm,train
00508.ppm,train
00509.ppm,val
00512.ppm,test
00513.ppm,train
00514.ppm,train
00515.ppm,val
00516.ppm,train
00517.ppm,train
00518.ppm,train
00519.ppm,train
00520.ppm,train
00521.ppm,val
00523.ppm,train
00524.ppm,train
00527.ppm,train
00528.ppm,train
00530.ppm,val
00531.ppm,train
00536.ppm,val
00542.ppm,train
00544.ppm,train
00545.ppm,train
00548.ppm,train
00551.ppm,train
00552.ppm,train
00554.ppm,train
00556.ppm,train
00557.ppm,train
00560.ppm,train
00564.ppm,val
00565.ppm,train
00566.ppm,train
00567.ppm,val
00570.ppm,train
00571.ppm,train
00575.ppm,train
00593.ppm,train
00599.ppm,val
00601.ppm,train
00602.ppm,train
00603.ppm,train
00604.ppm,train
00605.ppm,train
00606.ppm,val
00607.ppm,val
00608.ppm,train
00609.ppm,train
00610.ppm,train
00611.ppm,train
00612.ppm,test
00613.ppm,train
00615.ppm,val
00616.ppm,train
00619.ppm,val
00620.ppm,train
00621.ppm,train
00622.ppm,train
00623.ppm,train
00624.ppm,val
00625.ppm,val
00626.ppm,train
00628.ppm,val
00630.ppm,train
00631.ppm,train
00632.ppm,train
00633.ppm,train
00634.ppm,train
00635.ppm,train
00637.ppm,train
00638.ppm,train
00639.ppm,train
00640.ppm,train
00641.ppm,val
00642.ppm,val
00644.ppm,train
00645.ppm,val
00646.ppm,train
00647.ppm,val
00648.ppm,val
00649.ppm,train
00650.ppm,train
00651.ppm,test
00653.ppm,train
00654.ppm,val
00655.ppm,val
00656.ppm,train
00657.ppm,train
00658.ppm,train
00659.ppm,train
00660.ppm,train
00661.ppm,test
00662.ppm,val
00663.ppm,val
00664.ppm,train
00665.ppm,val
00667.ppm,train
00668.ppm,train
00669.ppm,test
00670.ppm,val
00671.ppm,train
00672.ppm,train
00673.ppm,val
00674.ppm,val
00675.ppm,train
00678.ppm,train
00679.ppm,train
00680.ppm,test
00681.ppm,train
00682.ppm,train
00683.ppm,train
00685.ppm,train
00686.ppm,train
00688.ppm,val
00689.ppm,train
00690.ppm,train
00691.ppm,val
00692.ppm,train
00693.ppm,val
00694.ppm,train
00695.ppm,train
00696.ppm,train
00697.ppm,train
00698.ppm,train
00699.ppm,test
00700.ppm,train
00701.ppm,train
00702.ppm,train
00703.ppm,train
00704.ppm,train
00705.ppm,val
00706.ppm,val
00707.ppm,train
00710.ppm,val
00712.ppm,train
00714.ppm,train
00715.ppm,test
00716.ppm,test
00717.ppm,train
00719.ppm,train
00720.ppm,train
00721.ppm,train
00722.ppm,train
00723.ppm,val
00725.ppm,train
00728.ppm,val
00729.ppm,train
00730.ppm,train
00732.ppm,train
00733.ppm,test
00734.ppm,train
00736.ppm,test
00737.ppm,train
00738.ppm,train
00740.ppm,train
00741.ppm,train
00742.ppm,val
00744.ppm,train
00746.ppm,val
00747.ppm,train
00749.ppm,train
00751.ppm,train
00752.ppm,val
00754.ppm,train
00755.ppm,train
00756.ppm,train
00758.ppm,test
00760.ppm,val
00761.ppm,train
00762.ppm,train
00763.ppm,train
00764.ppm,train
00766.ppm,train
00770.ppm,train
00771.ppm,train
00772.ppm,val
00773.ppm,test
00774.ppm,train
00775.ppm,train
00776.ppm,train
00777.ppm,val
00778.ppm,val
00779.ppm,train
00780.ppm,test
00782.ppm,val
00783.ppm,train
00784.ppm,train
00785.ppm,test
00787.ppm,train
00788.ppm,train
00789.ppm,train
00791.ppm,train
00794.ppm,train
00795.ppm,train
00797.ppm,train
00798.ppm,train
00801.ppm,val
00802.ppm,val
00803.ppm,test
00805.ppm,train
00806.ppm,train
00807.ppm,train
00808.ppm,train
00809.ppm,val
00810.ppm,val
00811.ppm,train
00813.ppm,train
00816.ppm,train
00817.ppm,train
00818.ppm,train
00820.ppm,test
00821.ppm,train
00822.ppm,train
00823.ppm,train
00824.ppm,train
00825.ppm,train
00827.ppm,val
00828.ppm,val
00829.ppm,train
00831.ppm,train
00833.ppm,val
00834.ppm,train
00835.ppm,val
00836.ppm,train
00837.ppm,train
00838.ppm,test
00839.ppm,train
00841.ppm,train
00842.ppm,train
00844.ppm,train
00845.ppm,train
00846.ppm,train
00848.ppm,val
00849.ppm,test
00850.ppm,train
00851.ppm,train
00852.ppm,train
00853.ppm,train
00854.ppm,train
00855.ppm,test
00857.ppm,val
00858.ppm,val
00859.ppm,val
00860.ppm,train
00862.ppm,test
00863.ppm,train
00864.ppm,train
00865.ppm,val
00866.ppm,train
00867.ppm,train
00868.ppm,train
00869.ppm,val
00870.ppm,val
00871.ppm,train
00872.ppm,val
00874.ppm,train
00876.ppm,test
00879.ppm,train
00881.ppm,train
00882.ppm,train
00884.ppm,val
00885.ppm,test
00886.ppm,train
00887.ppm,train
00888.ppm,test
00889.ppm,val
00891.ppm,test
00893.ppm,val
00894.ppm,train
00895.ppm,val
00896.ppm,train
00897.ppm,train
00898.ppm,val
00899.ppm,train
